normalized_title,original_title,details,authors
datation d'un support de peinture,datation d'un support de peinture,doi_________::2115aeb97c016535d519d1401f9b417f | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'PF', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::41000943f640f1dea406a2daeb8cbbd7 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::40103688524b1ec778005781e765679c | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::73c0bb4db55050de6bda9fd0a8cf11c5 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::27b7447b43e11eab0b4fa4a7a5ede33d | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::d72a24b4ee5f35e5cdb087ae6789e115 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::86918587ed5c4933aeed4c1d9b57a0f2 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::7a937deff67abe2deafd67bf554aef67 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::0ee223bf00e7cfeeafb4720f84f0176a | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::d2a1fb3cd8175f843508927c577218f1 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::6fbc6ad8e60187814478af72b20e20a6 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::2236e5c5946b9d0452fc4c0578d41e7a | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::8623c1776594ec9bbf46a73f399a1cd4 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::e80d68891093b1a6c0ec2c9b5d6b79de | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::57deaa3129327386443533f24d98a5fc | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::86ec94ec36e92f5eeb06e761860eccf5 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::a1471890627eefc09b7478ef01ecd95c | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
datation d'un support de peinture,datation d'un support de peinture,r3730f562f9e::cf05d66954b176e5b15a9268cb967a72 | DataverseNL | 2021-01-01,"[{'fullName': 'Fraiture, PF', 'name': 'Pf', 'surname': 'Fraiture', 'rank': 1, 'pid': None}]"
